Mascot,Count
Golden Griffins,3
Grenadiers,3
Invaders,3
Kougars,3
Pharaohs,3
Pilgrims,3
Pythons,3
Ranchers,3
Seahorses,3
Sidewinders,3
Squires,3
Sultans,3
Wasps,3
Wildkats,3
Baymen,3
Black Raiders,3
Blue Dragons,3
Blue Eagles,3
Blue Tornado,3
Bluebirds,3
Bluestreaks,3
Bulldawgs,3
Confederates,3
Fighting Crusaders,3
G-Men,3
Gobblers,3
Goldbugs,3
Hatchets,3
Hustlers,3
Jesters,3
Loboes,3
Maples,3
Middies,3
Northmen,3
Northstars,3
Orientals,3
Papermakers,3
Punchers,3
Rocks,3
Sandies,3
Scarlets,3
Sioux,3
Truckers,3
Warrior,3
White Tigers,3
Wildcat,3
Witches,3
Force,2
Stampede,2
Fury,2
Heat,2
Predators,2
Seawolves,2
Barracudas,2
Avengers,2
Bayhawks,2
Marshals,2
Blue Angels,2
Captains,2
Corsairs,2
Deacons,2
Heroes,2
Hounds,2
North Stars,2
Apollos,2
Archers,2
Blue Jackets,2
Blue Tide,2
Champions,2
Gamecocks,2
Golden Rams,2
Javelinas,2
Kats,2
Muskies,2
Purple Knights,2
Roosters,2
Scarlet Knights,2
Spirits,2
Steamers,2
Tide,2
Tommies,2
76ers,2
Big Green,2
Blue Bombers,2
Blue Wave,2
Bolts,2
Boomers,2
Boxers,2
Brothers,2
Buckeyes,2
Celts,2
Cosmos,2
Cranes,2
Crimson,2
Dusters,2
Dutch,2
Eels,2
Fords,2
Foresters,2
Golden Flashes,2
Golden Panthers,2
Hatters,2
Hawkeyes,2
Haymakers,2
Hoyas,2
Johnnies,2
Judges,2
Kernels,2
Komets,2
Lazers,2
Mallards,2
Parrots,2
Poets,2
Purple Raiders,2
Scrappers,2
Silver Hawks,2
Swamp Foxes,2
Tides,2
Toppers,2
Totems,2
Utes,2
War Hawks,2
Warbirds,2
Westerners,2
Wyverns,2
613s,2
Abes,2
Acorns,2
Angoras,2
Ascenders,2
Atoms,2
Aztec Eagles,2
Bays,2
Beetdiggers,2
Berries,2
Black Devils,2
Black Panthers,2
Blackcats,2
Blue Comets,2
Blue Darters,2
Blue Wolves,2
Bluehawks,2
Brahmans,2
Bulldog,2
Bullfrogs,2
Bunnies,2
Burrs,2
C-Hawks,2
Chancellors,2
Cheesemakers,2
Chemics,2
Chickasaws,2
Chix,2
Cobra,2
Conquering Riders,2
Cossacks,2
Crabbers,2
Crescents,2
Crimsons,2
CyberCats,2
Danes,2
Democrats,2
Diggers,2
Dogies,2
Doves,2
Drakes,2
Dreadnaughts,2
Eddies,2
Evergreens,2
Fightin' Saints,2
Fightin' Tigers,2
Fighting Cardinals,2
Fighting Hornets,2
Fighting Rangers,2
Fliers,2
Galloping Ghosts,2
Ganders,2
Garnets,2
Gator,2
Goats,2
Golddiggers,2
Golden Arrows,2
Golden Beavers,2
Golden Horde,2
Golden Tide,2
Golden Warriors,2
Golden Wave,2
Green Hornets,2
Greenies,2
Guards,2
Hellfighters,2
Hermits,2
Hilanders,2
Hillies,2
Hillmen,2
Honey Badgers,2
Hubs,2
Huguenots,2
Hunters,2
Hurricane,2
Iron Mikes,2
Jaguar,2
Jays,2
Jeeps,2
Kardinals,2
Kittens,2
Knight Hawks,2
Lady Knights,2
Lion,2
Macks,2
Malemutes,2
Marksmen,2
Maroon Knights,2
Maroon Raiders,2
Maroon Tide,2
Menehunes,2
Mighty Eagles,2
Millionaires,2
Moguls,2
Muckers,2
Nobles,2
Nordics,2
Oakers,2
Obezags,2
Orangemen,2
Pheasants,2
Polars,2
Porcupines,2
Potters,2
Pretzels,2
Purgolders,2
Purple Devils,2
Purple Panthers,2
Purple Riders,2
Purple Tigers,2
Purples,2
Rails,2
Rajahs,2
Ram,2
Red Ramblers,2
Red Riders,2
Red Tornadoes,2
Redcats,2
Regals,2
Ricebirds,2
Romans,2
Ropers,2
Sandcrabs,2
Scarabs,2
Sea Kings,2
Senecas,2
Seraphs,2
Settlers,2
Shorthorns,2
Silver Foxes,2
Silver Streaks,2
Slaters,2
Speedboys,2
Spuds,2
Stingarees,2
T-Birds,2
Tanagers,2
Tanners,2
The Breakers,2
Titan,2
Toreadors,2
Townies,2
Turks,2
Warhawk,2
Winged Lions,2
Wolverine,2
Bandits,1
Mets,1
Revolution,1
Drillers,1
Legends,1
Riptide,1
Wings,1
Mayhem,1
Destroyers,1
Flight,1
Rhinos,1
Rush,1
Seals,1
Prowlers,1
Racers,1
Wildfire,1
Athletics,1
Beacons,1
Belles,1
Lasers,1
Majors,1
Maple Leafs,1
Mystics,1
Rapids,1
Rays,1
Spiders,1
Steamrollers,1
Tornados,1
Wonders,1
Anchormen,1
Axemen,1
Bats,1
Battling Bishops,1
Cannoneers,1
Canucks,1
Cardinal,1
Copperheads,1
Daredevils,1
Dinos,1
Eskimos,1
Firehawks,1
Griffons,1
Gulls,1
Hillcats,1
Lights,1
Lyons,1
Mighty Oaks,1
Monsoon,1
Moose,1
Norse,1
Pistons,1
Pronghorns,1
Red Barons,1
Red Jackets,1
Red Wings,1
Rivermen,1
Thunderwolves,1
Trappers,1
Tribe,1
Twisters,1
Valkyries,1
Volcanoes,1
Vulcans,1
Arabs,1
ArchAngels,1
Bear Cubs,1
Big Blues,1
Bills,1
Blackjacks,1
Blades,1
Blue Bears,1
Blue Storm,1
Blue Tigers,1
Bluecats,1
Blugolds,1
Brown Bears,1
Bruisers,1
Caimans,1
Canaries,1
Capers,1
Chanticleers,1
Cherokee,1
Chinooks,1
Chippewas,1
Continentals,1
Crimson Pride,1
Cutthroats,1
Diablos,1
Dorados,1
Elite,1
Emeralds,1
Fighting Hawks,1
Firecats,1
Firestorm,1
Gila Monsters,1
Golden Bulls,1
Guard,1
Harvesters,1
Heralds,1
Herons,1
Ice Cats,1
Imperials,1
Jewels,1
Jimmies,1
Juggernauts,1
Killer Bees,1
LandSharks,1
Larks,1
Lumberjax,1
Mad Hatters,1
Maniacs,1
Mighty Ducks,1
Miracles,1
Missions,1
Nanooks,1
Nuggets,1
Orange,1
Prophets,1
Purple Eagles,1
Reapers,1
Red Foxes,1
Redcoats,1
Redfish,1
River Kings,1
River Rats,1
Rox,1
Salukis,1
Sea Hawks,1
Sea Otters,1
Seasiders,1
Setters,1
Shockers,1
Shoremen,1
Skeeters,1
Snow Leopards,1
Sparks,1
Squirrels,1
Sun,1
Tarantulas,1
Terrapins,1
Thorobreds,1
Tuskers,1
Violets,1
Wardogs,1
Wreckers,1
Aardvarks,1
Academics,1
Agates,1
Airedales,1
Alices,1
Andies,1
Appleknockers,1
Applemen,1
Arabians,1
Arapaho Nation,1
Arcs,1
Argent,1
Argylls,1
Armadillos,1
Armens,1
Artesians,1
Athenians,1
Atomics,1
Atomsmashers,1
Auctioneers,1
Auks,1
Awesome Blossoms,1
Aztec Warriors,1
Badger,1
Barbs,1
Barristers,1
Barrons,1
Battling Bathers,1
Battling Bees,1
Battling Bulls,1
Battling Miners,1
Bay Hawks,1
Bearcubs,1
Bearkatz,1
Beeters,1
Bellringers,1
Bells,1
Belugas,1
Bengal,1
Big Green Machines,1
Big Horns,1
Big Macs,1
Big Trains,1
Billings HomeSchool,1
Billygoats,1
Black Diamonds,1
Black Eagles,1
Black Tigers,1
Black Tornado,1
Blackshirts,1
Blacksmiths,1
Blazing Trojan,1
Blizzards,1
Blockbusters,1
Blue Aces,1
Blue Birds,1
Blue Blazes,1
Blue Bullets,1
Blue Devil,1
Blue Dons,1
Blue Dukes,1
Blue Flame,1
Blue Flames,1
Blue Flashes,1
Blue Lightning,1
Blue Lions,1
Blue Pirates,1
Blue Ponies,1
Blue Stars,1
Blue Steel,1
Blue Thunder,1
Blueboys,1
Bluestars,1
Blujays,1
Bobcat,1
Bobkatz,1
Bobwhites,1
Bombardiers,1
Bonackers,1
Borderites,1
Bowmen,1
Briar Jumpers,1
Brickies,1
Bridgemen,1
Bridgers,1
Brownies,1
Bubblers,1
Buccs,1
Buckhorns,1
Buckskins,1
Buff n' Blue,1
Buffalo,1
Buffs,1
Bull Dogs,1
Bulldoggers,1
Bumblebees,1
Burgers,1
Bushmen,1
Busters,1
Buttons,1
C-F Indians,1
Caballeros,1
Cadet Wildcats,1
Cahillite,1
Caissons,1
Cajuns,1
Caliphs,1
Campers,1
Canalmen,1
Canners,1
Caravan,1
Carolina Crusaders,1
Caseys,1
Castle Guards,1
Cavers,1
Caxys,1
Cedars,1
Central Cougars,1
Centurion,1
Ceramics,1
Charger,1
Chargers-Eagles,1
Chargin' Chargers,1
Charging Indians,1
Charging Wildcats,1
Chieftain,1
Chieftans,1
Chimeras,1
Chipmunks,1
Chipps,1
Chitwin,1
Christ Ambassadors,1
Christians,1
Churchmen,1
Classicals,1
Clerks,1
Clockers,1
Clovers,1
Coachmen,1
Coalers,1
Cobblers,1
Cogs,1
Colonists,1
Columbians,1
Conchs,1
Conqueror,1
Contenders,1
Coons,1
Copper Kings,1
Cornjerkers,1
Cottonpickers,1
County Seaters,1
Couriers,1
Coursers,1
Craftsmen,1
Crickets,1
Criminals,1
Crimson Bears,1
Crimson Flashes,1
Crimson Streaks,1
Crimson Waves,1
Cristeros,1
Crowns,1
Cubans,1
Cutters,1
Daggers,1
Daisies,1
Dalers,1
Dark Horses,1
Darts,1
Deaf Hoosiers,1
Deer,1
Delta Kings,1
Desert Shields,1
Desert Warriors,1
Devil Dogs,1
Devil Pups,1
Devildogs,1
Diamond Hornets,1
Diamondback,1
Diamondback Rattlers,1
Dine Warriors,1
Disciples,1
Discoverers,1
Divers,1
Doggers,1
Donkeys,1
Dots,1
Doughboys,1
Drifters,1
Dux,1
Dynamos,1
E'Hawks,1
E-Rabs,1
Eagle Owls,1
Eaglets,1
Earwigs,1
Electrics,1
Electrons,1
Elephant,1
Emerald Knights,1
Emperors,1
Eskomos,1
Eskymos,1
Executives,1
Exporters,1
Feet,1
Fighitng Sea Lions,1
Fightin' Bulldogs,1
Fightin' Knights,1
Fightin' Planets,1
Fighting 59ers,1
Fighting Bees,1
Fighting Blues,1
Fighting Chicks,1
Fighting Clan,1
Fighting Cocks,1
Fighting Colts,1
Fighting Cyclones,1
Fighting Deacons,1
Fighting Frogs,1
Fighting Gamecocks,1
Fighting Gators,1
Fighting Green Hornets,1
Fighting Herald,1
Fighting Indians,1
Fighting Kellys,1
Fighting Lancers,1
Fighting Lobos,1
Fighting Orioles,1
Fighting Pharoahs,1
Fighting Pintos,1
Fighting Rams,1
Fighting Red Wolves,1
Fighting Scouts,1
Fighting Tarpons,1
Fighting Trojans,1
Fighting Zebras,1
Fire Birds,1
Firebird,1
Firebrands,1
Firefox,1
Flaming Hearts,1
Flippers,1
Flivvers,1
Flying Arrows,1
Flying Dutch,1
Flying Dutchman,1
Flying Eagles,1
Flying Flucos,1
Flying Forts,1
Flying G's,1
Flying Geese,1
Flying Horses,1
Flying Jets,1
Flying L's,1
Flying Squadron,1
Foothillers,1
Fordians,1
Forerunners,1
Freddies,1
Frontiers,1
Furies,1
Future,1
Gaelic Knights,1
Garnet Gulls,1
Gauls,1
Gazelles,1
Glacier Bears,1
Glarner Knights,1
Go-Devils,1
Go-Hawks,1
Goblins,1
Goldbacks,1
Golden Bombers,1
Golden Bucks,1
Golden Buffalo,1
Golden Elks,1
Golden Gales,1
Golden Gators,1
Golden Hurricanes,1
Golden Mules,1
Golden Raiders,1
Golden Rockets,1
Golden Tors,1
Golden Warrriors,1
Golden Wildcats,1
Gondoliers,1
Gore Rangers,1
Gorrillas,1
Goslings,1
Graduates,1
Grangers,1
Granite Diggers,1
Grape Pickers,1
Gray Bees,1
Green Bears,1
Green Bees,1
Green Giants,1
Green Mountain Boys,1
Greenbacks,1
Greendevils,1
Greenmen,1
Greenwave,1
Grey Ghosts,1
Griffens,1
Grizzles,1
Grizzly Bears,1
Grizzly Cubs,1
Groundhogs,1
Grovers,1
Halfbreeds,1
Hall Markers,1
Hambletonians,1
Harbormen,1
Harlem Hellfighters,1
Harpooners,1
Hawklets,1
Haybalers,1
Hearts,1
Hematites,1
Herders,1
Heschel Heat,1
Hi-Liners,1
High Climbers,1
Higher Praise,1
Highlanders-Scots,1
Highwaymen,1
Hillclimbers,1
Hippos,1
Hoboes,1
Hodags,1
Hoggers,1
Holsteins,1
Honeybears,1
Horned Toads,1
Horses,1
Hot Dogs,1
Hound Dawgs,1
House,1
Howlers,1
Howling Wolves,1
Hubbers,1
Hubmen,1
Hunter Dragons,1
Huntsmen,1
Hurons,1
Hustlin' Hawks,1
Hustlin' Tigers,1
Hyaks,1
Hylanders,1
Illineks,1
Impalas,1
Imps,1
Indees,1
Indian,1
Ingots,1
Inman Teutons,1
Inventors,1
Irish Wolfhounds,1
Iron Horses,1
Ironheads,1
Irrigators,1
J Hawks,1
Jack Rabbits,1
Jay Hawks,1
Jaybirds,1
Jeffs,1
Jems,1
Jesuits,1
Jug Rox,1
Jugglers,1
Jungaleers,1
Junior Bills,1
Junior Jays,1
Junior Rainbows,1
Jurists,1
Justices,1
Ka Makani,1
Kadets,1
Kahoks,1
Kares,1
Kavaliers,1
Kavemen,1
Kaws,1
Kays,1
Kee Hawks,1
Kerberos,1
Kewpies,1
Kicking Mules,1
Kilties,1
King Salmon,1
Kingdom Warriors,1
Kinghts,1
Kiotes,1
Kiowas,1
Knight,1
Knights-Damsels,1
Konkrete Kids,1
Kougers,1
Kowboys,1
Kubs,1
L-Cats,1
Ladies and Gentlemen,1
Lady Bears,1
Lady Lynx,1
Lakemen,1
Lakes,1
Lambkins,1
Larries,1
Lava Bears,1
Lawmen,1
Lawyers,1
Ledgers,1
Legionnaires,1
Liberators,1
Light,1
Links,1
Lionhearts,1
Little Cyclones,1
Little Gophers,1
Little Green,1
Little Hawks,1
Little Hoyas,1
Little Indians,1
Little Irish,1
Little Johns,1
Little Lions,1
Little Muskies,1
Logrollers,1
Lunas,1
Lyncs,1
M-Cats,1
Magi,1
Magic Storm,1
Magics,1
Maiingan,1
Mainstreeters,1
Makos,1
Manta Rays,1
Marcos,1
Marists,1
Maroon Devils,1
Maroon Giants,1
Marshmen,1
Martians,1
Martlets,1
Masai Lions,1
Matadores,1
Maverick,1
Mawrtians,1
Meloneers,1
Mercuries,1
Middle Bears,1
Mighty Bookers,1
Mighty Cardinal,1
Mighty Dragons,1
Mighty Elephants,1
Mighty Hoppers,1
Mighty Mikes,1
Mighty Mites,1
Mighty Mules,1
Mighty Mustangs,1
Mighty Tigers,1
Mightymen,1
Minarets,1
Minotaur,1
Missiles,1
Modeltowners,1
Mohicans,1
Mohigans,1
Mon-Dak Thunder,1
Monsoons,1
Moors,1
Moquis,1
Morning Stars,1
Mounders,1
Movin Maroons,1
Mowhawks,1
Muhls,1
Muleskinners,1
Mushers,1
Muskrats,1
Mustang,1
Na Ali'i,1
Na Alii,1
Naps,1
Navi Gators,1
Navigator,1
Nikes,1
Nimrods,1
Nitros,1
Nocona,1
Noises,1
Normans,1
Norseman,1
Norskies,1
Northern Stars,1
Nubians,1
Ogichida,1
Old Abes,1
Orabs,1
Oracles,1
Orange Wave,1
Oredockers,1
Orphans,1
Pacesetters,1
Paladin,1
Pam-Pack,1
Panda Bears,1
Pathfinders,1
Patriette,1
Pegasi,1
Peglegs,1
Pendragons,1
Pheonix,1
Piasa Birds,1
Pied Pipers,1
Pilot,1
Pine Lads,1
Piners,1
Pintos,1
Plowboys,1
Popes,1
Portagers,1
Porters,1
Pounders,1
Praetorians,1
Preppers,1
Prexies,1
Princes,1
Pterodactyls,1
Pugs,1
Purple Cats,1
Purple Flash,1
Purple Ghosts,1
Purple Hornets,1
Purple Roses,1
Purple Wave,1
Pythians,1
Quarriers,1
Quasars,1
Queensmen,1
Quips,1
Raccoons,1
Ragin' Bulls,1
Rail Splitters,1
Rainbows,1
Rampants,1
Rappites,1
Raptor,1
Rats,1
Raven,1
Ray Jays,1
Rayders,1
Red Aces,1
Red Ants,1
Red Arrows,1
Red Birds,1
Red Elephants,1
Red Flashes,1
Red Heifers,1
Red Hornets,1
Red Rams,1
Red Rebels,1
Red Riots,1
Red Robins,1
Red Tail Hawks,1
Red Tops,1
Red Tornado,1
Redbugs,1
Redhounds,1
Redjackets,1
Redsides,1
Redstickers,1
Redstreaks,1
Refiners,1
Reggies,1
Reindeer,1
Resorters,1
Revelators,1
Ridgers,1
Ridgerunners,1
Ringnecks,1
Riots,1
Ro-Hawks,1
Rock-a-Chaws,1
Rocketeers,1
Rogues,1
Roneagles,1
Rookies,1
Roughers,1
Royal Comets,1
Royal Lancers,1
Royal Lions,1
Royal Tigers,1
Ruf-Nex,1
Runnin' Lions,1
Running Patriots,1
Russets,1
Saddlelites,1
Sages,1
Saint Bernards,1
Sallies,1
Salt Hawks,1
Sammies,1
Sand Devils,1
Sandites,1
Sandlizards,1
Sandstoners,1
Satellites,1
Saukees,1
Sauras,1
Sawyers,1
Scarlet Fliers,1
Scarlet Warriors,1
Scoopers,1
Scotsmen,1
Screamin Eagles,1
Screamin' Eagles,1
Screaming Devils,1
Seariders,1
Sem-Sirens,1
Sentinel,1
Sequoits,1
Serpents,1
Sheepherders,1
Sheiks,1
Shells,1
Sherman Tanks,1
Shiners,1
Ship Builders,1
Ships,1
Shires,1
Shiretowners,1
Shorians,1
Siberian Tigers,1
Silent Warriors,1
Silver Hawk,1
Silver Stallions,1
Silver Warriors,1
Silver Wolves,1
Silverstreaks,1
Silverwolves,1
Skiers,1
Sky Hawks,1
Sledgehammer,1
Slicers,1
Smithies,1
Smoky Bears,1
Snowbirds,1
Sobos,1
Solons,1
Sonics,1
Southerners,1
Space Pioneers,1
Sparkplugs,1
Spartan,1
Spoilers,1
Spongers,1
Spoofhounds,1
Springers,1
Spudders,1
Spy Ponders,1
Staggs,1
Stanners,1
Starfires,1
Stateliners,1
Steelmen,1
Stockaders,1
Stormin' Pointers,1
Sun Warriors,1
Superlarks,1
Surfriders,1
Surgeons,1
Swampcats,1
Swathers,1
Swedes,1
Swifts,1
Swords,1
Syrupmakers,1
T-Wolves,1
Talbots,1
Tarbabes,1
Tarblooders,1
Tarriers,1
Techmen,1
Technicians,1
Teddies,1
Templars,1
Terriors,1
The Aviators,1
The Chargers,1
The Knights,1
The Pride,1
The Saint,1
Thorpes,1
Thunder Birds,1
Thunder Chicken,1
Thunder-Bulldogs,1
Tiger,1
Tiger Cubs,1
Tiger Scots,1
Tigercats,1
Tigerhawks,1
Tillers,1
Timberjacks,1
Toads,1
Toilers,1
Tologs,1
Torches,1
Toreadores,1
Torreys,1
Tortoises,1
Tractors,1
Trainers,1
Travellers,1
Trevians,1
Trollers,1
Troubadours,1
Tuckers,1
Turkeys,1
Tygers,1
Unis,1
Urchins,1
Valley Cubs,1
Vee Bees,1
Vendeens,1
Ventures,1
Victorians,1
Villa Novans,1
Villagers,1
Villains,1
Vineyarders,1
Vivettes,1
Voks,1
Wambdi,1
Wamps,1
Wapiti,1
Wardens,1
Warriors-Faith,1
Watchdogs,1
Waveriders,1
Wheelers,1
Whip-Purs,1
Whirlies,1
White,1
White Buffaloes,1
White Hawks,1
Whitefaces,1
Wild Boars,1
Wild Cats,1
Wild Gators,1
Wildcatz,1
Wildebeests,1
Wildecats,1
Wildfires,1
Wildkits,1
Windjammers,1
Wingers,1
Winhawks,1
Wolf,1
Woodchucks,1
Wooden Shoes,1
Woodmen,1
Woolies,1
Wrens,1
Wykons,1
Yachtsmen,1
Yeguas,1
Yellojackets,1
Yellowhammers,1
Yoemen,1
Zee-Bees,1
Zeps,1
Zippers,1
Zizzers,1
