STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,FRGT,FRGT_ATTRIBUTES,GAHT,GAHT_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,SN02,SN02_ATTRIBUTES,SX02,SX02_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV03,WV03_ATTRIBUTES
USW00013958,5/8/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,508,2400,0,0,0,0,267,0,144,0,70,X,70,X,,,,,,,,,35,X,,,,,97,730,20,X,,,,,,,,,167,0,278,0,1213,X,,,,,,,,,,,,,591,X,320,X,,,,,315,WX,,,232,0,0,0,116,X,,,,,185,X,,,194,0,211,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
USW00013958,5/9/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,317,0,161,0,10,X,0,X,,,,,,,,,27,X,,,,,51,730,340,X,,,,,,,,,178,0,294,0,1607,X,,,,,,,,,,,,,762,X,200,X,,,,,180,WX,,,87,0,0,0,45,X,,,,,87,X,,,194,0,206,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/10/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,317,0,206,0,70,X,70,X,,,,,,,,,37,X,,,,,76,730,1650,X,,,,,,,,,244,0,311,0,1603,X,,,,,,,,,,,,,530,X,60,X,,,,,45,WX,,,93,0,0,0,63,X,,,,,98,X,,,200,0,211,I0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/11/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,3,2400,0,0,0,0,233,0,183,0,90,X,100,X,,,,,,,,,39,X,,,,,94,730,852,X,,,,,,,,,172,0,339,0,825,X,,,,,,,,,,,,,138,X,30,X,,,,,45,WX,,,108,0,0,0,89,X,,,,,123,X,,,228,I0,228,0,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,
USW00013958,5/12/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,T02400,0,0,0,0,294,0,194,0,100,X,100,X,,,,,,,,,27,X,,,,,28,730,2350,X,,,,,,,,,183,0,322,0,2257,X,,,,,,,,,,,,,0,X,170,X,,,,,180,WX,,,71,0,0,0,63,X,,,,,87,X,,,217,0,222,0,1,0,,,,,,,,,,,,,1,0,,,,,,,,,1,X,,,1,0,,,,,,,,,,,,
USW00013958,5/13/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,328,0,239,0,70,X,60,X,,,,,,,,,38,X,,,,,13,730,50,X,,,,,,,,,172,0,333,0,2317,X,,,,,,,,,,,,,374,X,160,X,,,,,180,WX,,,108,0,0,0,63,X,,,,,87,X,,,206,0,211,0,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/14/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,328,0,250,0,70,X,80,X,,,,,,,,,36,X,,,,,46,730,2350,X,,,,,,,,,178,0,356,0,930,X,,,,,,,,,,,,,263,X,170,X,,,,,180,WX,,,108,0,0,0,54,X,,,,,87,X,,,206,0,233,0,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/15/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,322,0,239,0,80,X,70,X,,,,,,,,,36,X,,,,,66,730,1652,X,,,,,,,,,189,0,328,0,1455,X,,,,,,,,,,,,,451,X,120,X,,,,,135,WX,,,101,0,0,0,58,X,,,,,82,X,,,228,0,239,0,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/16/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,317,0,239,0,90,X,80,X,,,,,,,,,42,X,,,,,61,730,1452,X,,,,,,,,,178,0,328,0,1343,X,,,,,,,,,,,,,282,X,150,X,,,,,135,WX,,,122,0,0,0,72,X,,,,,123,X,,,233,0,239,0,1,0,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00013958,5/17/1995,30.3208,-97.7604,204.2,AUSTIN CAMP MABRY TX US,0,2400,0,0,0,0,306,0,239,0,90,X,90,X,,,,,,,,,46,X,,,,,79,730,1551,X,,,,,,,,,183,0,356,0,1018,X,,,,,,,,,,,,,270,X,140,X,,,,,180,WX,,,196,0,0,0,72,X,,,,,144,X,,,239,0,244,0,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
