# song_key (normalized title|performer)	genres
a little is enough|pete townshend	POP,ROCK,PUNK,FOLK
a little less conversation|elvis presley vs jxl	ROCK
a little less sixteen candles a little more touch me|fall out boy	ROCK,PUNK,EMO
a little love|corey hart	POP,ROCK,ELECTRONIC
a little love|juice newton	POP,COUNTRY
a little more country than that|easton corbin	COUNTRY
a little more love|olivia newton john	POP,ROCK
a little more summertime|jason aldean	COUNTRY
a little past little rock|lee ann womack	COUNTRY
a little respect|erasure	POP,ROCK,ELECTRONIC
a little too late|toby keith	COUNTRY
a little too much|shawn mendes	POP
a little you|freddie and the dreamers	POP,ROCK
a lonely night|weeknd	POP,HIP_HOP,RNB
a long time a long way to go|runt todd rundgren	POP,ROCK,RNB,COUNTRY,FOLK
a lot of things different|kenny chesney	COUNTRY
a love bizarre|sheila e	RNB
a love song|kenny rogers	POP,COUNTRY
a lucky guy|rickie lee jones	POP,ROCK,COUNTRY,FOLK
a mama and a papa|ray stevens	POP,COUNTRY
a man needs a woman|james carr	RNB
a man who was gonna die young|eric church	COUNTRY
a matter of trust|billy joel	POP,ROCK,FOLK
a million and one|dean martin	POP,JAZZ
a million and one|vic dana	POP
a million dreams|p nk	POP
a million miles away|plimsouls	POP
a million to one|brian hyland	POP,ROCK,RNB,FOLK
a milli|lil wayne	POP,HIP_HOP
a minute of your time|tom jones	POP,ROCK
a moment like this|kelly clarkson	POP
a mother for my children|whispers	ROCK,RNB,ELECTRONIC
a m|one direction	POP
a natural man|lou rawls	POP,RNB,ELECTRONIC,JAZZ
a new day has come|celine dion	POP
a night to remember|joe diffie	COUNTRY
a night to remember|shalamar	RNB,ELECTRONIC
a nightmare on my street|d j jazzy jeff and the fresh prince	HIP_HOP
a part of you|brenda and the tabulations	RNB
a passion play edit 8|jethro tull	ROCK,RNB,FOLK
a penny for your thoughts|tavares	RNB,ELECTRONIC
a place in the sun|stevie wonder	RNB
a public affair|jessica simpson	POP
a question of temperature|balloon farm	ROCK
a quiet place|garnet mimms and the enchanters	RNB
a ray of hope|rascals	POP
a real fine place to start|sara evans	COUNTRY
a real mother for ya|johnny guitar watson	RNB
a rose by any other name|teena marie featuring gerald levert	RNB,ELECTRONIC
a rose is still a rose|aretha franklin	RNB
a satisfied mind|bobby hebb	RNB
a shot in the dark|henry mancini and his orchestra	POP,SOUNDTRACK
a sign of the times|petula clark	POP,ROCK,FOLK
a simple game|four tops	POP,RNB,ELECTRONIC,FOLK
a simple man|lobo	POP,FOLK
a sky full of stars|coldplay	POP,ROCK
a song for mama|boyz ii men	POP,RNB
