# normalized_key	display_name	genres
del amitri	Del Amitri	POP,ROCK
del reeves	Del Reeves	COUNTRY
del shannon	Del Shannon	POP,ROCK,RNB,FOLK
delaney and bonnie	Delaney & Bonnie	ROCK,RNB,COUNTRY
delbert mcclinton	Delbert McClinton	ROCK,RNB,COUNTRY
delegates	The Delegates	PUNK
delegation	Delegation	RNB,ELECTRONIC
delfonics	The Delfonics	RNB,ELECTRONIC
delinquent habits	Delinquent Habits	HIP_HOP,PUNK
della humphrey	Della Humphrey	OTHER
della reese	Della Reese	JAZZ
dells	The Dells	RNB,ELECTRONIC
delrons	The Delrons	OTHER
dem franchize boyz	Dem Franchize Boyz	POP,HIP_HOP
demi lovato	Demi Lovato	POP
demis roussos	Demis Roussos	POP
deniece williams	Deniece Williams	RNB,ELECTRONIC
denise lasalle	Denise LaSalle	RNB
dennis coffey and the detroit guitar band	Dennis Coffey & The Detroit Guitar Band	OTHER
dennis deyoung	Dennis DeYoung	POP,ROCK
dennis edwards	Dennis Edwards	RNB
dennis lloyd	Dennis Lloyd	POP
dennis yost	Dennis Yost	OTHER
deodato	Deodato	RNB,JAZZ,LATIN
deon estus	Deon Estus	OTHER
deon jackson	Deon Jackson	OTHER
depeche mode	Depeche Mode	POP,ROCK,ELECTRONIC
derek	Derek	OTHER
derek and the dominos	Derek & The Dominos	POP,ROCK,RNB,COUNTRY,FOLK
derek martin	Derek Martin	OTHER
derez de shon	Derez De’Shon	HIP_HOP,RNB
deryl dodd	DERYL DODD	COUNTRY,FOLK
des ree	Des'ree	POP
descemer bueno	Descemer Bueno	LATIN
desiigner	Desiigner	HIP_HOP
desmond child	Desmond Child	OTHER
desmond child and rouge	Desmond Child & Rouge	OTHER
desmond dekker and the aces	Desmond Dekker & The Aces	ROCK,PUNK
destiny s child	Destiny's Child	POP,HIP_HOP,RNB
detail	Detail	OTHER
detergents	The Detergents	OTHER
detroit emeralds	The Detroit Emeralds	RNB
dev	DEV	POP
device	Device	OTHER
devin dawson	Devin Dawson	COUNTRY
devo	DEVO	POP,ROCK,ELECTRONIC,PUNK
devotions	The Devotions	OTHER
dexys midnight runners	Dexys Midnight Runners	POP,ELECTRONIC
dey	The DEY	OTHER
dia frampton	Dia Frampton	OTHER
diamond rio	Diamond Rio	COUNTRY
diana king	Diana King	OTHER
diana ross	Diana Ross	POP,RNB,ELECTRONIC
diana ross and the supremes	Diana Ross & The Supremes	POP,RNB
diane renay	Diane Renay	POP
dick feller	Dick Feller	OTHER
dick hyman	Dick Hyman	POP,JAZZ
dickey lee	Dickey Lee	OTHER
dickie goodman	Dickie Goodman	OTHER
diddy	Diddy	POP,HIP_HOP,RNB
diddy dirty money	Diddy - Dirty Money	POP
diddy featuring keyshia cole	Diddy Featuring Keyshia Cole	OTHER
dido	Dido	POP
dierks bentley	Dierks Bentley	COUNTRY
diesel	Diesel	OTHER
digable planets	Digable Planets	HIP_HOP,PUNK
diggy	Diggy	RNB
digital underground	Digital Underground	HIP_HOP,RNB,ELECTRONIC,PUNK
dilated peoples	Dilated Peoples	HIP_HOP,PUNK
dillman band	The DIllman Band	OTHER
dillon francis	Dillon Francis	POP,HIP_HOP,ELECTRONIC
dina carroll	Dina Carroll	ELECTRONIC
dino	Dino	OTHER
dino desi and billy	Dino, Desi & Billy	POP
dion	Dion	POP,ROCK,RNB
dionne farris	Dionne Farris	RNB
dionne warwick	Dionne Warwick	POP,RNB,ELECTRONIC
diplo	Diplo	POP,ELECTRONIC
diplomats	The Diplomats	HIP_HOP,PUNK
dire straits	Dire Straits	POP,ROCK
dirty heads	Dirty Heads	ROCK
dirty vegas	Dirty Vegas	ELECTRONIC
disciples	Disciples	ELECTRONIC
disclosure	Disclosure	POP,ELECTRONIC
dishwalla	Dishwalla	POP,ROCK
disturbed	Disturbed	ROCK,METAL
divine	Divine	OTHER
divinyls	Divinyls	POP,ROCK,ELECTRONIC
dixie chicks	Dixie Chicks	COUNTRY
dixie cups	The Dixie Cups	POP
dixie drifter	The Dixie Drifter	OTHER
dixie flyers	The Dixie Flyers	OTHER
dj company	DJ Company	ELECTRONIC
dj drama	DJ Drama	HIP_HOP
dj esco	DJ Esco	HIP_HOP
dj felli fel	DJ Felli Fel	OTHER
dj frank e	DJ Frank E	OTHER
dj khaled	DJ Khaled	POP,HIP_HOP
dj kool	DJ Kool	HIP_HOP
dj laz	Dj Laz	HIP_HOP
dj luke nasty	DJ Luke Nasty	HIP_HOP
dj miko	DJ Miko	OTHER
dj quik	DJ Quik	POP,HIP_HOP,RNB,PUNK
dj sammy	DJ Sammy	POP,ELECTRONIC
dj snake	DJ Snake	HIP_HOP,ELECTRONIC
dj suede the remix god	DJ Suede The Remix God	HIP_HOP
dj taz	DJ Taz	OTHER
dlow	DLOW	OTHER
dmx	DMX	HIP_HOP,PUNK
dna	DNA	OTHER
dnce	DNCE	POP
do or die	Do Or Die	HIP_HOP
dobie gray	Dobie Gray	RNB
doc box	Doc Box	OTHER
doctor and the medics	Doctor & The Medics	OTHER
dog s eye view	Dog's Eye View	POP,ROCK
dokken	Dokken	ROCK,METAL
dolla	Dolla	HIP_HOP
dollar	Dollar	POP,ROCK,ELECTRONIC
dolly parton	Dolly Parton	COUNTRY
dolphins	The Dolphins	OTHER
dom kennedy	Dom Kennedy	HIP_HOP
domino	Domino	RNB
domo genesis	Domo Genesis	HIP_HOP
don and the goodtimes	Don & The Goodtimes	OTHER
don covay	Don Covay	RNB
don fardon	Don Fardon	POP
don goodwin	Don Goodwin	OTHER
don henley	Don Henley	POP,ROCK,FOLK
don ho	Don Ho	OTHER
don johnson	Don Johnson	OTHER
don mclean	Don McLean	POP,ROCK,FOLK
don nix	Don Nix	RNB
don omar	Don Omar	HIP_HOP,LATIN
don williams	Don Williams	COUNTRY
donald byrd	Donald Byrd	RNB,JAZZ
donald fagen	Donald Fagen	POP,ROCK,JAZZ,FOLK
donell jones	Donell Jones	POP,HIP_HOP,RNB
donna allen	Donna Allen	OTHER
donna fargo	Donna Fargo	COUNTRY
donna lewis	Donna Lewis	POP
donna lynn	Donna Lynn	OTHER
donna mcdaniel	Donna McDaniel	OTHER
donna summer	Donna Summer	POP,RNB,ELECTRONIC
donnie elbert	Donnie Elbert	RNB
donnie iris	Donnie Iris	ROCK
donny and marie osmond	Donny & Marie Osmond	POP
donny hathaway	Donny Hathaway	RNB,JAZZ
donny most	Donny Most	OTHER
donny osmond	Donny Osmond	POP,SOUNDTRACK
donovan	Donovan	POP,ROCK,PUNK,FOLK
doobie brothers	The Doobie Brothers	POP,ROCK,RNB,COUNTRY,FOLK
doors	The Doors	ROCK
doris day	Doris Day	POP,JAZZ
doris duke	Doris Duke	RNB
doris troy	Doris Troy	POP,RNB
dorothy moore	Dorothy Moore	RNB
dorothy norwood	Dorothy Norwood	OTHER
dorsey burnette	Dorsey Burnette	ROCK
dottie west	Dottie West	COUNTRY
double	Double	OTHER
double exposure	Double Exposure	RNB,ELECTRONIC
doucette	Doucette	ROCK
doug stone	Doug Stone	COUNTRY
dove cameron	Dove Cameron	POP
down a k a kilo	Down A.K.A Kilo	OTHER
dr alban	Dr. Alban	POP,ELECTRONIC
dr buzzard s original savannah band	Dr. Buzzard's Original Savannah Band	ELECTRONIC
dr dre	Dr. Dre	HIP_HOP,RNB
dr hook	Dr. Hook	POP,ROCK,COUNTRY,FOLK
dr john	Dr. John	ROCK,RNB,FOLK
dr west s medicine show and junk band	Dr. West's Medicine Show & Junk Band	OTHER
dragon	Dragon	ROCK
dragonforce	DragonForce	METAL
drake	Drake	POP,HIP_HOP
drake bell	Drake Bell	POP
drama	Drama	OTHER
dramatics	The Dramatics	RNB,ELECTRONIC
dre	Dre	OTHER
dream	The-Dream	POP,HIP_HOP,RNB
dream academy	The Dream Academy	POP,ROCK,ELECTRONIC,CLASSICAL
dreezy	Dreezy	POP,HIP_HOP,RNB
drew vels	The Drew-Vels	OTHER
drifters	The Drifters	POP,ROCK,RNB,FOLK
driicky graham	Driicky Graham	HIP_HOP
drs	DRS	OTHER
dru down	Dru Down	HIP_HOP,RNB
dru hill	Dru Hill	POP,HIP_HOP,RNB
drupi	Drupi	POP
dua lipa	Dua Lipa	POP
duane eddy	Duane Eddy	POP,ROCK,RNB
duck sauce	Duck Sauce	ELECTRONIC
duffy	Duffy	POP,RNB
duice	Duice	OTHER
duke and the drivers	Duke And The Drivers	OTHER
duke baxter	Duke Baxter	OTHER
duke jupiter	Duke Jupiter	OTHER
duncan laurence	Duncan Laurence	POP
duncan sheik	Duncan Sheik	POP
duprees	The Duprees	POP,RNB
duran duran	Duran Duran	POP,ROCK,ELECTRONIC
dustin lynch	Dustin Lynch	COUNTRY
dusty springfield	Dusty Springfield	POP,ROCK,RNB,FOLK
dvsn	dvsn	POP,HIP_HOP,RNB
dwayne johnson	Dwayne Johnson	OTHER
dwele	Dwele	RNB
dwight twilley	Dwight Twilley	POP
dwight twilley band	Dwight Twilley Band	POP,ROCK
dwight yoakam	Dwight Yoakam	COUNTRY
dyke and the blazers	Dyke & The Blazers	RNB
dylan scott	Dylan Scott	COUNTRY
dynamic superiors	The Dynamic Superiors	RNB
dynamics	The Dynamics	RNB,ELECTRONIC,JAZZ
dynasty	Dynasty	OTHER
e 40	E-40	HIP_HOP
e g daily	E.G. Daily	OTHER
eagle eye cherry	Eagle-Eye Cherry	POP
eagles	Eagles	POP,ROCK,FOLK
eamon	Eamon	RNB
earl grant	Earl Grant	POP
earnest jackson	Earnest Jackson	OTHER
earth wind and fire	Earth, Wind & Fire	RNB,ELECTRONIC
easton corbin	Easton Corbin	COUNTRY
easy street	Easy Street	OTHER
easybeats	The Easybeats	POP,ROCK,PUNK,FOLK
eazy e	Eazy-E	HIP_HOP,RNB,PUNK
ebonys	The Ebonys	RNB
echosmith	Echosmith	POP
ecstasy passion and pain	Ecstasy, Passion & Pain	ELECTRONIC
ed ames	Ed Ames	POP
ed sheeran	Ed Sheeran	POP
eddie fisher	Eddie Fisher	POP
eddie floyd	Eddie Floyd	RNB
eddie harris	Eddie Harris	RNB,JAZZ
eddie hodges	Eddie Hodges	OTHER
eddie holland	Eddie Holland	RNB
eddie holman	Eddie Holman	RNB
eddie kendricks	Eddie Kendricks	RNB,ELECTRONIC
eddie levert	Eddie Levert	OTHER
eddie lovette	Eddie Lovette	POP,ROCK
eddie money	Eddie Money	POP,ROCK,COUNTRY,FOLK
eddie murphy	Eddie Murphy	OTHER
eddie rabbitt	Eddie Rabbitt	POP,COUNTRY
eddie rambeau	Eddie Rambeau	OTHER
eddie vedder	Eddie Vedder	ROCK
eddy arnold	Eddy Arnold	COUNTRY
edens edge	Edens Edge	COUNTRY
edgar winter	Edgar Winter	ROCK,RNB
edgar winter group	The Edgar Winter Group	POP,ROCK,RNB,COUNTRY
edgar winter s white trash	Edgar Winter's White Trash	ROCK,RNB
edie brickell	Edie Brickell	POP,FOLK
edie brickell and new bohemians	Edie Brickell & New Bohemians	POP,FOLK
edison lighthouse	Edison Lighthouse	POP
edward bear	Edward Bear	ROCK
edward maya	Edward Maya	POP
edwin hawkins singers	Edwin Hawkins Singers	OTHER
edwin mccain	Edwin McCain	POP
edwin starr	Edwin Starr	RNB
edwyn collins	Edwyn Collins	ROCK,CLASSICAL
eiffel 65	Eiffel 65	POP,ELECTRONIC
eight seconds	Eight Seconds	ROCK
eighth wonder	Eighth Wonder	POP
el chicano	El Chicano	RNB
el coco	El Coco	ELECTRONIC
el debarge	El DeBarge	RNB
elastica	Elastica	POP,ROCK
electric boys	Electric Boys	ROCK,RNB,METAL
electric indian	The Electric Indian	OTHER
electric light orchestra	Electric Light Orchestra	POP,ROCK,FOLK
electric prunes	The Electric Prunes	POP,ROCK,PUNK,FOLK
electronic	Electronic	POP,ROCK,ELECTRONIC
elephant man	Elephant Man	ELECTRONIC
elgins	The Elgins	POP,RNB
eli young band	Eli Young Band	ROCK,COUNTRY
elisa fiorillo	Elisa Fiorillo	OTHER
ella fitzgerald	Ella Fitzgerald	POP,RNB,JAZZ
ella henderson	Ella Henderson	POP,ELECTRONIC
ella mai	Ella Mai	POP,HIP_HOP,RNB
ella washington	Ella Washington	RNB
elle king	Elle King	POP
ellen foley	Ellen Foley	OTHER
ellen page	Ellen Page	OTHER
elley duhe	Elley Duhé	POP
ellie goulding	Ellie Goulding	POP,ELECTRONIC
elliott yamin	Elliott Yamin	OTHER
elmo and patsy	Elmo & Patsy	OTHER
eloise laws	Eloise Laws	RNB
elton john	Elton John	POP,ROCK
elvin bishop	Elvin Bishop	ROCK,RNB,COUNTRY
elvis costello	Elvis Costello	POP,ROCK,ELECTRONIC,FOLK
elvis costello and the attractions	Elvis Costello & The Attractions	POP,ROCK,ELECTRONIC,FOLK
elvis crespo	Elvis Crespo	LATIN
elvis presley	Elvis Presley	ROCK
emblem3	Emblem3	POP
emeli sande	Emeli Sandé	POP,RNB
emerson drive	Emerson Drive	COUNTRY
emerson lake and palmer	Emerson, Lake & Palmer	ROCK,JAZZ
emerson lake and powell	Emerson, Lake & Powell	ROCK
emf	EMF	POP
emilia	Emilia	OTHER
emily warren	Emily Warren	POP
eminem	Eminem	HIP_HOP,RNB
emitt rhodes	Emitt Rhodes	POP,ROCK,COUNTRY,FOLK
emmylou harris	Emmylou Harris	POP,ROCK,COUNTRY,FOLK
emotions	The Emotions	POP,RNB,ELECTRONIC
empire cast	Empire Cast	RNB
empire of the sun	Empire of the Sun	POP,ROCK,ELECTRONIC,PUNK
empress of	Empress Of	POP,ROCK,RNB,ELECTRONIC
en vogue	En Vogue	POP,RNB
enchanters	The Enchanters	OTHER
enchantment	Enchantment	RNB
engelbert humperdinck	Engelbert Humperdinck	POP
england dan and john ford coley	England Dan & John Ford Coley	POP
enigma	Enigma	ELECTRONIC
enrique iglesias	Enrique Iglesias	POP,LATIN
entouch	Entouch	OTHER
enuff z nuff	Enuff Z'Nuff	POP,ROCK,METAL
enya	Enya	OTHER
ephraim lewis	Ephraim Lewis	OTHER
epmd	EPMD	HIP_HOP,PUNK
equals	The Equals	POP,ROCK
erasure	Erasure	POP,ROCK,ELECTRONIC
eria fachin	Eria Fachin	OTHER
eric b and rakim	Eric B. & Rakim	HIP_HOP,PUNK
eric benet	Eric Benét	RNB
eric burdon	Eric Burdon	ROCK,RNB
eric burdon and the animals	Eric Burdon & the Animals	ROCK,FOLK
eric carmen	Eric Carmen	POP,ROCK,ELECTRONIC,FOLK
eric church	Eric Church	COUNTRY
eric clapton	Eric Clapton	POP,ROCK,RNB
eric heatherly	Eric Heatherly	COUNTRY
eric hine	Eric Hine	OTHER
eric martin	Eric Martin	OTHER
eric paslay	Eric Paslay	COUNTRY
eric turner	Eric Turner	OTHER
eric weissberg	Eric Weissberg	OTHER
erick sermon	Erick Sermon	HIP_HOP,PUNK
erma franklin	Erma Franklin	RNB
eruption	Eruption	POP,ELECTRONIC
erykah badu	Erykah Badu	POP,HIP_HOP,RNB
escape club	The Escape Club	OTHER
esquires	The Esquires	RNB
estelle	Estelle	RNB
ester dean	Ester Dean	OTHER
esther phillips	Esther Phillips	RNB
esthero	Esthero	ELECTRONIC
eternal	Eternal	POP,ELECTRONIC
eternity s children	Eternity's Children	POP
etta james	Etta James	POP,RNB,JAZZ
euclid beach band	The Euclid Beach Band	OTHER
eugene wilde	Eugene Wilde	RNB,ELECTRONIC
eurogliders	Eurogliders	ROCK
europe	Europe	ROCK,METAL
eurythmics	Eurythmics	POP,ROCK,ELECTRONIC
eva simons	Eva Simons	POP
evan and jaron	Evan And Jaron	POP
evanescence	Evanescence	ROCK,METAL
eve	Eve	POP,HIP_HOP,RNB
eve 6	Eve 6	POP,ROCK,PUNK,METAL
evelyn champagne king	Evelyn "Champagne" King	RNB,ELECTRONIC
evelyn thomas	Evelyn Thomas	ELECTRONIC
everclear	Everclear	POP,ROCK,PUNK,METAL
everlast	Everlast	HIP_HOP
everly brothers	The Everly Brothers	POP,ROCK,FOLK
everything	Everything	OTHER
everything but the girl	Everything But The Girl	POP,ELECTRONIC
evie sands	Evie Sands	OTHER
ex girlfriend	Ex-Girlfriend	OTHER
exciters	The Exciters	POP,RNB
exile	Exile	OTHER
expose	Exposé	POP
extreme	Extreme	ROCK,METAL
eydie gorme	Eydie Gormé	POP
eye to eye	Eye To Eye	POP
f l y fast life yungstaz	F.L.Y. (Fast Life Yungstaz)	OTHER
f r david	F.R. David	ELECTRONIC
fabolous	Fabolous	POP,HIP_HOP,RNB,PUNK
fabulous poodles	The Fabulous Poodles	OTHER
fabulous thunderbirds	The Fabulous Thunderbirds	ROCK,RNB,COUNTRY
face to face	Face To Face	OTHER
faces	Faces	POP,ROCK,RNB,COUNTRY,PUNK,FOLK
fairground attraction	Fairground Attraction	POP
faith band	Faith Band	OTHER
faith evans	Faith Evans	POP,HIP_HOP,RNB
faith hill	Faith Hill	POP,COUNTRY
faith hope and charity	Faith, Hope & Charity	ELECTRONIC
faith no more	Faith No More	ROCK,HIP_HOP,RNB,METAL
faithless	Faithless	ELECTRONIC
falco	Falco	POP,ROCK
fall out boy	Fall Out Boy	ROCK,PUNK,EMO
family	The Family	OTHER
famous dex	Famous Dex	HIP_HOP
fancy	Fancy	OTHER
fanny	Fanny	OTHER
fantasia	Fantasia	POP,RNB
fantastic four	The Fantastic Four	RNB
fantastic johnny c	Fantastic Johnny C	RNB
fantastics	The Fantastics	OTHER
far corporation	Far Corporation	OTHER
far east movement	Far East Movement	POP,HIP_HOP,ELECTRONIC
farm	The Farm	POP
faron young	Faron Young	COUNTRY
farruko	Farruko	HIP_HOP,LATIN
fastball	Fastball	POP,ROCK
faster pussycat	Faster Pussycat	ROCK,METAL
fat boys	Fat Boys	HIP_HOP,ELECTRONIC
fat joe	Fat Joe	POP,HIP_HOP,PUNK
fat pat	Fat Pat	HIP_HOP
fatboy slim	Fatboy Slim	ELECTRONIC
fats domino	Fats Domino	POP,ROCK,RNB
faydee	Faydee	POP
feargal sharkey	Feargal Sharkey	POP
fefe dobson	Fefe Dobson	POP
feist	Feist	POP,ROCK,FOLK,CLASSICAL
felice taylor	Felice Taylor	OTHER
felony	Felony	OTHER
fergie	Fergie	POP,HIP_HOP
fern kinney	Fern Kinney	OTHER
ferrante and teicher	Ferrante & Teicher	POP
ferras	Ferras	POP
festival	The Festival	OTHER
fetty wap	Fetty Wap	POP,HIP_HOP
fever tree	Fever Tree	ROCK
field mob	Field Mob	POP,HIP_HOP
fiend	Fiend	HIP_HOP
fifth estate	The Fifth Estate	POP,ROCK
fifth harmony	Fifth Harmony	POP
figures on a beach	Figures On A Beach	POP
filter	Filter	POP,ROCK,HIP_HOP,METAL
finatticz	Finatticz	OTHER
fine young cannibals	Fine Young Cannibals	POP,ROCK,ELECTRONIC
finger eleven	Finger Eleven	ROCK,HIP_HOP,METAL
fiona	Fiona	OTHER
fiona apple	Fiona Apple	POP,ROCK,FOLK,CLASSICAL
fire inc	Fire Inc.	OTHER
fireballs	The Fireballs	OTHER
firefall	Firefall	POP,ROCK,COUNTRY,FOLK
firehouse	Firehouse	ROCK,METAL
firm	The Firm	OTHER
first choice	First Choice	RNB,ELECTRONIC
first class	The First Class	OTHER
first edition	The First Edition	OTHER
first national band	The First National Band	OTHER
fitz and the tantrums	Fitz and The Tantrums	POP,ROCK
five	Five	POP,ELECTRONIC
five americans	The Five Americans	POP,ROCK
five finger death punch	Five Finger Death Punch	ROCK,METAL
five flights up	Five Flights Up	OTHER
five for fighting	Five For Fighting	POP,ROCK
five man electrical band	Five Man Electrical Band	ROCK
five satins	The Five Satins	POP,ROCK,RNB
five special	Five Special	ELECTRONIC
five stairsteps	The Five Stairsteps	RNB
five star	Five Star	POP
fixx	The Fixx	POP,ROCK,ELECTRONIC
flame	The Flame	OTHER
flaming ember	Flaming Ember	OTHER
flaming lips	The Flaming Lips	POP,ROCK,FOLK
flamingos	The Flamingos	POP,RNB
flash	Flash	OTHER
flash and the pan	Flash and the Pan	ROCK
flash cadillac and the continental kids	Flash Cadillac & The Continental Kids	OTHER
flatt and scruggs	Flatt & Scruggs	COUNTRY,FOLK
fleetwood mac	Fleetwood Mac	POP,ROCK
fleetwoods	The Fleetwoods	POP,ROCK,RNB
flex	Flex	OTHER
flipmode squad	Flipmode Squad	HIP_HOP,PUNK
flipp dinero	Flipp Dinero	HIP_HOP
flirtations	The Flirtations	RNB
flo rida	Flo Rida	POP,HIP_HOP,ELECTRONIC
floaters	The Floaters	RNB
flobots	Flobots	HIP_HOP
floetry	Floetry	POP,HIP_HOP,RNB
florence the machine	Florence + The Machine	POP,CLASSICAL
florence welch	Florence Welch	POP
florida georgia line	Florida Georgia Line	COUNTRY
floyd cramer	Floyd Cramer	POP,COUNTRY
flume	Flume	POP,ROCK,ELECTRONIC
flying lizards	The Flying Lizards	ELECTRONIC,PUNK
flying machine	Flying Machine	OTHER
flyleaf	Flyleaf	ROCK,HIP_HOP,EMO,METAL
fmob	Fmob	OTHER
focus	Focus	POP,ROCK,JAZZ
foghat	Foghat	POP,ROCK,RNB,COUNTRY
fontane sisters	The Fontane Sisters	POP
fontella bass	Fontella Bass	POP,RNB
foo fighters	Foo Fighters	ROCK,METAL
fools	The Fools	OTHER
for king and country	for KING & COUNTRY	ROCK
for real	For Real	RNB
force m d s	Force M.D.'s	RNB,ELECTRONIC
foreigner	Foreigner	POP,ROCK
forest rangers	The Forest Rangers	ROCK
formations	The Formations	OTHER
fort minor	Fort Minor	HIP_HOP,METAL
fortune	Fortune	OTHER
fortunes	The Fortunes	POP,ROCK,FOLK
foster sylvers	Foster Sylvers	OTHER
foster the people	Foster The People	POP,ROCK
fotomaker	Fotomaker	POP
foundations	The Foundations	POP,RNB,FOLK
fountains of wayne	Fountains Of Wayne	POP,ROCK
four aces	The Four Aces	POP
four jacks and a jill	Four Jacks And a Jill	OTHER
four lads	The Four Lads	POP
four preps	The Four Preps	POP,RNB
four tops	Four Tops	POP,RNB,ELECTRONIC,FOLK
fox	Fox	OTHER
foxes	Foxes	POP,ELECTRONIC
foxx	Foxx	HIP_HOP
foxy	Foxy	RNB,ELECTRONIC
foxy brown	Foxy Brown	POP,HIP_HOP,RNB,PUNK
framing hanley	Framing Hanley	ROCK,HIP_HOP,EMO,METAL
france joli	France Joli	ELECTRONIC
francesca battistelli	Francesca Battistelli	ROCK
francis lai	Francis Lai	POP,ELECTRONIC,SOUNDTRACK
frank devol	Frank DeVol	POP
frank gallop	Frank Gallop	OTHER
frank ifield	Frank Ifield	POP,ROCK,COUNTRY
frank lucas	Frank Lucas	OTHER
frank mills	Frank Mills	OTHER
frank ocean	Frank Ocean	POP,HIP_HOP,RNB
frank sinatra	Frank Sinatra	POP
frank stallone	Frank Stallone	POP
frank zappa	Frank Zappa	ROCK,PUNK,JAZZ
frankee	Frankee	OTHER
frankie avalon	Frankie Avalon	POP,ROCK,RNB
frankie ballard	Frankie Ballard	COUNTRY
frankie beverly	Frankie Beverly	RNB
frankie goes to hollywood	Frankie Goes To Hollywood	POP,ROCK,ELECTRONIC
frankie j	Frankie J	POP,RNB
frankie karl and the dreams	Frankie Karl & The Dreams	OTHER
frankie miller	Frankie Miller	OTHER
frankie smith	Frankie Smith	RNB,ELECTRONIC
frankie valli	Frankie Valli	POP,FOLK
frannie golde	Frannie Golde	OTHER
franz ferdinand	Franz Ferdinand	ROCK,ELECTRONIC,PUNK
fratellis	The Fratellis	ROCK,PUNK
fray	The Fray	POP,ROCK
freak nasty	Freak Nasty	HIP_HOP
fred hammond	Fred Hammond	OTHER
fred hughes	Fred Hughes	RNB
fred schneider	Fred Schneider	OTHER
fred wesley and the j b s	Fred Wesley & The J.B.'s	RNB
freda payne	Freda Payne	RNB
freddie and the dreamers	Freddie & The Dreamers	POP,ROCK
freddie hart	Freddie Hart	COUNTRY
freddie jackson	Freddie Jackson	RNB,ELECTRONIC
freddie mercury	Freddie Mercury	ROCK
freddie north	Freddie North	RNB
freddie scott	Freddie Scott	RNB
freddy cannon	Freddy Cannon	POP,ROCK,RNB
freddy fender	Freddy Fender	POP,COUNTRY
frederick knight	Frederick Knight	RNB
free	Free	POP,ROCK,RNB,FOLK
freedom williams	Freedom Williams	ELECTRONIC
freedy johnston	Freedy Johnston	POP
freeway	Freeway	HIP_HOP,PUNK
french montana	French Montana	POP,HIP_HOP
frenship	FRENSHIP	POP,ROCK,ELECTRONIC
frente	Frente!	ROCK
freshlyground	Freshlyground	POP
frida	Frida	POP
friend and lover	Friend & Lover	POP
friends of distinction	The Friends Of Distinction	RNB
frijid pink	Frijid Pink	ROCK,RNB
frost	Frost	HIP_HOP
fruit de la passion	Fruit De La Passion	OTHER
fu schnickens	FU-Schnickens	HIP_HOP,PUNK
fuel	Fuel	POP,ROCK,HIP_HOP,METAL
fugees	Fugees	HIP_HOP
full force	Full Force	RNB,ELECTRONIC
fun	fun.	POP,ROCK,HIP_HOP,CLASSICAL
fun factory	Fun Factory	POP,ELECTRONIC
fundisha	Fundisha	OTHER
funkadelic	Funkadelic	ROCK,RNB
funkdoobiest	Funkdoobiest	HIP_HOP,PUNK
funkmaster flex	Funkmaster Flex	HIP_HOP,PUNK
funky kings	Funky Kings	OTHER
fuse odg	Fuse ODG	POP,ELECTRONIC
future	Future	POP,HIP_HOP
futuristic	Futuristic	HIP_HOP
fuzz	The Fuzz	RNB
g eazy	G-Eazy	POP,HIP_HOP
g herbo	G Herbo	HIP_HOP
g q	G.Q.	RNB,ELECTRONIC
g unit	G-Unit	HIP_HOP,PUNK
g wiz	G-Wiz	OTHER
gabrielle	Gabrielle	POP,RNB
galantis	Galantis	POP,ELECTRONIC
gale garnett	Gale Garnett	FOLK
gallagher and lyle	Gallagher And Lyle	POP
gallery	Gallery	POP
game	The Game	HIP_HOP
gamma	Gamma	OTHER
gang starr	Gang Starr	HIP_HOP,PUNK
gants	The Gants	ROCK
gap band	The Gap Band	RNB,ELECTRONIC
garbage	Garbage	POP,ROCK,ELECTRONIC
gardner cole	Gardner Cole	OTHER
garland green	Garland Green	RNB
garland jeffreys	Garland Jeffreys	ROCK
garnet mimms	Garnet Mimms	RNB
garnet mimms and the enchanters	Garnet Mimms & The Enchanters	RNB
gary allan	Gary Allan	COUNTRY
gary barlow	Gary Barlow	POP
gary criss	Gary Criss	ELECTRONIC
gary glitter	Gary Glitter	OTHER
gary lewis and the playboys	Gary Lewis & The Playboys	POP,ROCK,FOLK
gary moore	Gary Moore	ROCK,RNB
gary numan	Gary Numan	POP,ROCK,ELECTRONIC,PUNK
gary puckett	Gary Puckett	OTHER
gary puckett and the union gap	Gary Puckett & The Union Gap	POP,ROCK,FOLK
gary s gang	Gary's Gang	ELECTRONIC
gary toms empire	Gary Toms Empire	OTHER
gary u s bonds	Gary U.S. Bonds	RNB
gary wright	Gary Wright	POP,ROCK,COUNTRY
gavin christopher	Gavin Christopher	OTHER
gavin degraw	Gavin DeGraw	POP
gemini	Gemini	OTHER
gene and debbe	Gene & Debbe	OTHER
gene autry	Gene Autry	POP,COUNTRY
gene chandler	Gene Chandler	POP,RNB
gene cotton	Gene Cotton	OTHER
gene loves jezebel	Gene Loves Jezebel	POP,ROCK,ELECTRONIC
gene mcdaniels	Gene McDaniels	OTHER
gene pitney	Gene Pitney	POP,ROCK,FOLK
gene redding	Gene Redding	OTHER
gene simmons	Gene Simmons	ROCK,METAL
gene thomas	Gene Thomas	POP
general larry platt	General Larry Platt	OTHER
genesis	Genesis	POP,ROCK
gente de zona	Gente De Zona	POP,HIP_HOP,LATIN
gentrys	The Gentrys	POP
genya ravan	Genya Ravan	OTHER
george baker selection	George Baker Selection	POP
george benson	George Benson	POP,RNB,ELECTRONIC,JAZZ
george burns	George Burns	OTHER
george clinton	George Clinton	RNB
george duke	George Duke	RNB,JAZZ
george ezra	George Ezra	POP,FOLK
