# normalized_key	display_name	genres
alice in chains	Alice In Chains	ROCK,METAL
alice merton	Alice Merton	ROCK
alicia bridges	Alicia Bridges	ELECTRONIC
alicia keys	Alicia Keys	POP,RNB
alien ant farm	Alien Ant Farm	POP,ROCK,HIP_HOP,PUNK,METAL
alisha	Alisha	OTHER
alison krauss	Alison Krauss	POP,COUNTRY,FOLK
alison moyet	Alison Moyet	POP,ROCK,ELECTRONIC
alissa violet	Alissa Violet	OTHER
alive and kicking	Alive and Kicking	OTHER
all 4 one	All-4-One	POP,RNB
all american rejects	The All-American Rejects	POP,ROCK,PUNK
all saints	All Saints	POP,RNB,ELECTRONIC
all star tribute	All Star Tribute	OTHER
all time low	All Time Low	POP,PUNK
allan clarke	Allan Clarke	OTHER
allan sherman	Allan Sherman	OTHER
allman brothers band	The Allman Brothers Band	POP,ROCK,RNB,COUNTRY,FOLK
allure	Allure	OTHER
aloe blacc	Aloe Blacc	RNB
alpha rev	Alpha Rev	OTHER
alpha team	Alpha Team	OTHER
alphaville	Alphaville	POP,ROCK,ELECTRONIC
alt j	alt-J	ROCK
alton mcclain and destiny	Alton McClain & Destiny	OTHER
alunageorge	AlunaGeorge	POP,ROCK,ELECTRONIC
alvin and the chipmunks	Alvin & The Chipmunks	OTHER
alvin cash	Alvin Cash	RNB
alvin cash and the crawlers	Alvin Cash & The Crawlers	OTHER
alvin cash and the registers	Alvin Cash & The Registers	OTHER
aly and aj	Aly & AJ	POP
amanda	Amanda	OTHER
amanda brown	Amanda Brown	OTHER
amanda marshall	Amanda Marshall	POP
amanda perez	Amanda Perez	POP,RNB
amazing rhythm aces	Amazing Rhythm Aces	ROCK,COUNTRY,FOLK
amber	Amber	ELECTRONIC
amboy dukes	The Amboy Dukes	ROCK,PUNK
ambrosia	Ambrosia	POP,ROCK,COUNTRY,FOLK
amel larrieux	Amel Larrieux	RNB
america	America	POP,ROCK,COUNTRY,FOLK
american authors	American Authors	POP,ROCK
american breed	The American Breed	POP,FOLK
american flyer	American Flyer	OTHER
american hi fi	American Hi-Fi	POP,PUNK
american idol finalists season 4	American Idol Finalists - Season 4	POP
amerie	Amerie	POP,HIP_HOP,RNB
amii stewart	Amii Stewart	ELECTRONIC
amil	Amil	POP
amina	Amina	OTHER
amine	Aminé	POP,HIP_HOP
amy grant	Amy Grant	ROCK
amy holland	Amy Holland	POP
amy lee	Amy Lee	OTHER
amy winehouse	Amy Winehouse	RNB
anastacia	Anastacia	POP
anderson paak	Anderson .Paak	OTHER
andre 3000	André 3000	HIP_HOP
andre previn	André Previn	CLASSICAL
andre williams	Andre Williams	ROCK,PUNK
andrea bocelli	Andrea Bocelli	CLASSICAL
andrea martin	Andrea Martin	OTHER
andrea true connection	Andrea True Connection	ELECTRONIC
andrew gold	Andrew Gold	POP
andrew mcmahon in the wilderness	Andrew McMahon in the Wilderness	POP,ROCK
andrews sisters	The Andrews Sisters	POP,JAZZ
andru donalds	Andru Donalds	OTHER
andy and david williams	Andy & David Williams	POP
andy fairweather low	Andy Fairweather-Low	OTHER
andy gibb	Andy Gibb	POP,RNB,COUNTRY,ELECTRONIC
andy grammer	Andy Grammer	POP
andy griggs	Andy Griggs	COUNTRY
andy kim	Andy Kim	POP
andy pratt	Andy Pratt	OTHER
andy taylor	Andy Taylor	OTHER
andy williams	Andy Williams	POP,JAZZ,CLASSICAL
angel	Angel	OTHER
angel city	Angel City	OTHER
angela winbush	Angela Winbush	RNB,ELECTRONIC
angelica	Angelica	METAL
angelina	Angelina	OTHER
angels	The Angels	ROCK
angels and airwaves	Angels & Airwaves	POP,PUNK,EMO
angie martinez	Angie Martinez	POP
angie stone	Angie Stone	RNB
animals	The Animals	OTHER
animotion	Animotion	POP,ROCK,ELECTRONIC
anita baker	Anita Baker	RNB,JAZZ
anita bryant	Anita Bryant	POP
anita cochran	Anita Cochran	COUNTRY
anita ward	Anita Ward	ELECTRONIC
anitta	Anitta	POP,RNB
ann peebles	Ann Peebles	RNB
ann wilson	Ann Wilson	OTHER
anna kendrick	Anna Kendrick	SOUNDTRACK
anna king	Anna King	OTHER
anna margaret	Anna Margaret	POP
anna nalick	Anna Nalick	POP
anna wise	Anna Wise	RNB
anne hathaway	Anne Hathaway	SOUNDTRACK
anne marie	Anne-Marie	POP,ELECTRONIC
anne murray	Anne Murray	POP,COUNTRY,FOLK
annie lennox	Annie Lennox	POP,FOLK
another bad creation	Another Bad Creation	POP,RNB
anthony hamilton	Anthony Hamilton	RNB
antoine dodson	Antoine Dodson	OTHER
anuel aa	Anuel AA	HIP_HOP,LATIN
anya marina	Anya Marina	POP,ROCK
anything box	Anything Box	POP,ROCK
apache	Apache	HIP_HOP
apocalyptica	Apocalyptica	POP,METAL
april wine	April Wine	POP,ROCK,COUNTRY
aqua	Aqua	POP,ELECTRONIC
arbors	The Arbors	OTHER
arcade fire	Arcade Fire	POP,ROCK,ELECTRONIC,PUNK,FOLK,CLASSICAL
arcadia	Arcadia	POP,ROCK,ELECTRONIC
archie bell and the drells	Archie Bell & The Drells	POP,RNB,ELECTRONIC
archies	The Archies	POP,ROCK,FOLK
arctic monkeys	Arctic Monkeys	ROCK
aretha franklin	Aretha Franklin	RNB
argent	Argent	POP,ROCK,RNB
ariana grande	Ariana Grande	POP
arianna	Arianna	OTHER
arlo guthrie	Arlo Guthrie	POP,ROCK,COUNTRY,FOLK
armageddon	Armageddon	OTHER
armin van buuren	Armin van Buuren	ELECTRONIC
around the way	Around The Way	OTHER
arrested development	Arrested Development	HIP_HOP
arrow benjamin	Arrow Benjamin	POP
art garfunkel	Art Garfunkel	POP,FOLK
art of noise	Art Of Noise	POP,ROCK,ELECTRONIC
arthur alexander	Arthur Alexander	RNB
arthur conley	Arthur Conley	POP,RNB
arthur prysock	Arthur Prysock	OTHER
artistics	The Artistics	RNB
artists for haiti	Artists for Haiti	OTHER
artists stand up to cancer	Artists Stand Up To Cancer	OTHER
ashanti	Ashanti	POP,HIP_HOP,RNB
asher roth	Asher Roth	HIP_HOP
ashford and simpson	Ashford & Simpson	RNB,ELECTRONIC
ashlee simpson	Ashlee Simpson	POP
ashley mcbryde	Ashley McBryde	COUNTRY
ashley monroe	Ashley Monroe	COUNTRY
ashley tisdale	Ashley Tisdale	POP
ashton gardner and dyke	Ashton, Gardner & Dyke	OTHER
ashton shepherd	Ashton Shepherd	COUNTRY
asia	Asia	POP,ROCK
assembled multitude	The Assembled Multitude	OTHER
association	The Association	POP,ROCK,FOLK
astors	The Astors	RNB
astronauts	The Astronauts	ROCK
astrud gilberto	Astrud Gilberto	POP,JAZZ,LATIN
ataris	The Ataris	PUNK,EMO
athena cage	Athena Cage	OTHER
athenaeum	Athenaeum	POP
atlanta rhythm section	Atlanta Rhythm Section	POP,ROCK,RNB,COUNTRY,FOLK
atlantic starr	Atlantic Starr	RNB,ELECTRONIC
attitudes	Attitudes	OTHER
audience	Audience	OTHER
audioslave	Audioslave	ROCK,METAL
august alsina	August Alsina	POP,HIP_HOP,RNB
augustana	Augustana	POP,ROCK
auli i cravalho	Auli'i Cravalho	SOUNDTRACK
aurora	AURORA	POP
aurra	Aurra	RNB,ELECTRONIC
austin mahone	Austin Mahone	POP
austin roberts	Austin Roberts	OTHER
autograph	Autograph	ROCK,METAL
autry inman	Autry Inman	OTHER
ava max	Ava Max	POP
avant	Avant	POP,HIP_HOP,RNB
avenged sevenfold	Avenged Sevenfold	ROCK,METAL
aventura	Aventura	HIP_HOP,LATIN
average white band	Average White Band	RNB,ELECTRONIC,JAZZ
avery storm	Avery Storm	OTHER
avicii	Avicii	POP,ELECTRONIC
avril lavigne	Avril Lavigne	POP
awolnation	AWOLNATION	POP,ROCK
axe	Axe	OTHER
ayah marar	Ayah Marar	POP
ayana	Ayana	OTHER
ayo and teo	Ayo & Teo	HIP_HOP
az	AZ	HIP_HOP,PUNK
az yet	Az Yet	RNB
azul azul	Azul Azul	LATIN
b angie b	B Angie B	OTHER
b b king	B.B. King	ROCK,RNB
b fresh	B-Fresh	OTHER
b g	B.G.	HIP_HOP
b g the prince of rap	B.G. The Prince Of Rap	ELECTRONIC
b j thomas	B.J. Thomas	POP,FOLK
b o b	B.o.B	POP,HIP_HOP
b rich	B Rich	OTHER
b t express	B.T. Express	RNB,ELECTRONIC
b w stevenson	B.W. Stevenson	OTHER
b witched	B*Witched	POP,ELECTRONIC
b2k	B2K	POP,HIP_HOP,RNB
baauer	Baauer	HIP_HOP,ELECTRONIC
baby	Baby	OTHER
baby bash	Baby Bash	POP,HIP_HOP,RNB
baby boy da prince	Baby Boy Da Prince	HIP_HOP
baby ray	Baby Ray	OTHER
baby talk	Baby Talk	OTHER
baby washington	Baby Washington	RNB
babyface	Babyface	POP,RNB
babys	The Babys	POP,ROCK
bachelors	The Bachelors	POP,ROCK
bachman turner overdrive	Bachman-Turner Overdrive	POP,ROCK,RNB,COUNTRY,FOLK
backstreet boys	Backstreet Boys	POP
bad boy s da band	Bad Boy's Da Band	OTHER
bad boys blue	Bad Boys Blue	POP,ELECTRONIC
bad bunny	Bad Bunny	HIP_HOP,LATIN
bad company	Bad Company	POP,ROCK,RNB,FOLK
bad english	Bad English	ROCK,METAL
bad meets evil	Bad Meets Evil	HIP_HOP
bad wolves	Bad Wolves	ROCK,METAL
badfinger	Badfinger	POP,ROCK,RNB,FOLK
badlees	The Badlees	OTHER
baha men	Baha Men	OTHER
baja marimba band	The Baja Marimba Band	OTHER
balance	Balance	OTHER
ballin jack	Ballin' Jack	OTHER
balloon farm	Balloon Farm	ROCK
baltimora	Baltimora	ELECTRONIC
bananarama	Bananarama	POP,ROCK,ELECTRONIC
band	The Band	POP,ROCK,RNB,COUNTRY,FOLK
band aid	Band Aid	OTHER
band aid 30	Band Aid 30	OTHER
band of the black watch	Band of the Black Watch	OTHER
band perry	The Band Perry	COUNTRY
bandit	Bandit	OTHER
bang	Bang	RNB
bangles	The Bangles	POP,ROCK,ELECTRONIC
banzaii	Banzaii	OTHER
bar kays	The Bar-Kays	POP,RNB,ELECTRONIC
barbara acklin	Barbara Acklin	RNB
barbara and the browns	Barbara & The Browns	RNB
barbara fairchild	Barbara Fairchild	COUNTRY
barbara greene	Barbara Greene	OTHER
barbara lewis	Barbara Lewis	POP,RNB
barbara lynn	Barbara Lynn	POP,RNB
barbara mandrell	Barbara Mandrell	COUNTRY
barbara mason	Barbara Mason	RNB
barbara mitchell	Barbara Mitchell	RNB
barbarians	The Barbarians	ROCK,PUNK
barbra streisand	Barbra Streisand	POP,ELECTRONIC,SOUNDTRACK
barbra streisand and barry gibb	Barbra Streisand & Barry Gibb	OTHER
barden bellas	The Barden Bellas	POP,SOUNDTRACK
bardeux	Bardeux	OTHER
