STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DASF,DASF_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDSF,MDSF_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,10/8/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",239,",,0",139,",,0",,,,,,,,,,,,,13,",,X",,,,,,,,,2326,",,X",,,,,,,2324,",,W",,,,,,,,,189,",,W",,,,,,,210,",,X",250,",,X",,,,,,,,,,,40,",,X",67,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/9/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",211,",,0",161,",,0",,,,,,,,,,,,,31,",,X",,,,,,,,,430,",,X",,,,,,,1912,",,W",,,,,,,,,189,",,W",,,,,,,220,",,X",220,",,X",,,,,,,,,,,58,",,X",80,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,,,,,,,,,,,,
USW00094728,10/10/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,"T,,0,2400",0,",,0,",0,",,0,",189,",,0",100,",,0",,,,,,,,,,,,,27,",,X",,,,,,,,,1548,",,X",,,,,,,1704,",,W",,,,,,,,,144,",,W",,,,,,,300,",,X",290,",,X",,,,,,,,,,,67,",,X",94,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,
USW00094728,10/11/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",156,",,0",89,",,0",,,,,,,,,,,,,31,",,X",,,,,,,,,906,",,X",,,,,,,905,",,W",,,,,,,,,122,",,W",,,,,,,340,",,X",320,",,X",,,,,,,,,,,72,",,X",116,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/12/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",172,",,0",83,",,0",,,,,,,,,,,,,37,",,X",,,,,,,,,636,",,X",,,,,,,1510,",,W",,,,,,,,,128,",,W",,,,,,,300,",,X",310,",,X",,,,,,,,,,,72,",,X",107,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/13/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",200,",,0",83,",,0",,,,,,,,,,,,,12,",,X",,,,,,,,,1127,",,X",,,,,,,1126,",,W",,,,,,,,,144,",,W",,,,,,,250,",,X",250,",,X",,,,,,,,,,,40,",,X",54,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,10/14/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",15,",,0,2400",0,",,0,",0,",,0,",161,",,0",128,",,0",,,,,,,,,,,,,23,",,X",,,,,,,,,1004,",,X",,,,,,,1003,",,W",,,,,,,,,144,",,W",,,,,,,60,",,X",70,",,X",,,,,,,,,,,63,",,X",76,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,
USW00094728,10/15/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",61,",,0,2400",0,",,0,",0,",,0,",172,",,0",117,",,0",,,,,,,,,,,,,19,",,X",,,,,,,,,1634,",,X",,,,,,,1645,",,W",,,,,,,,,144,",,W",,,,,,,180,",,X",180,",,X",,,,,,,,,,,67,",,X",103,",,X",,,,,1,",,0",,,,,,,,,,,,,,,,,,,1,",,X",,,,,1,",,0",,,,,,,,,,
USW00094728,10/16/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",8,",,0,2400",0,",,0,",0,",,0,",150,",,0",89,",,0",,,,,,,,,,,,,34,",,X",,,,,,,,,2202,",,X",,,,,,,1928,",,W",,,,,,,,,122,",,W",,,,,,,260,",,X",240,",,X",,,,,,,,,,,67,",,X",107,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,",,0",,,,,,,,,,
USW00094728,10/17/2004,40.77898,-73.96925,42.7,"NY CITY CENTRAL PARK, NY US",0,",,0,2400",0,",,0,",0,",,0,",122,",,0",67,",,0",,,,,,,,,,,,,39,",,X",,,,,,,,,2033,",,X",,,,,,,2037,",,W",,,,,,,,,94,",,W",,,,,,,270,",,X",280,",,X",,,,,,,,,,,72,",,X",130,",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
