STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,ACMH,ACMH_ATTRIBUTES,ACSH,ACSH_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DAEV,DAEV_ATTRIBUTES,DAWM,DAWM_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,FMTM,FMTM_ATTRIBUTES,MDEV,MDEV_ATTRIBUTES,MDWM,MDWM_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT05,WT05_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT07,WT07_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT09,WT09_ATTRIBUTES,WT10,WT10_ATTRIBUTES,WT11,WT11_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT15,WT15_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT17,WT17_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT21,WT21_ATTRIBUTES,WT22,WT22_ATTRIBUTES,WV01,WV01_ATTRIBUTES,WV03,WV03_ATTRIBUTES,WV07,WV07_ATTRIBUTES,WV20,WV20_ATTRIBUTES
USW00024157,9/22/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,200,0,22,0,,,,,,,,,,,,,13,X,,,,,,,1519,X,,,,,,,,,1519,X,,,,,,,,,,,,,,,40,X,50,X,,,,,,,0,0,,,45,X,49,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,9/23/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,233,0,56,0,,,,,,,,,,,,,36,X,,,,,,,1227,X,,,,,,,,,1245,X,,,,,,,,,,,,,,,50,X,60,X,,,,,,,0,0,,,89,X,103,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,9/24/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,239,0,39,0,,,,,,,,,,,,,29,X,,,,,,,741,X,,,,,,,,,1424,X,,,,,,,,,,,,,,,60,X,340,X,,,,,,,0,0,,,49,X,63,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,9/25/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,T02400,0,0,0,0,239,0,72,0,,,,,,,,,,,,,35,X,,,,,,,2342,X,,,,,,,,,2340,X,,,,,,,,,,,,,,,140,X,140,X,,,,,,,0,0,,,76,X,89,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,9/26/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,30,2400,0,0,0,0,178,0,94,0,,,,,,,,,,,,,37,X,,,,,,,410,X,,,,,,,,,410,X,,,,,,,,,,,,,,,200,X,200,X,,,,,,,0,0,,,89,X,103,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,9/27/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,15,2400,0,0,0,0,161,0,89,0,,,,,,,,,,,,,41,X,,,,,,,1200,X,,,,,,,,,1115,X,,,,,,,,,,,,,,,200,X,220,X,,,,,,,0,0,,,94,X,116,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,9/28/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,97,2400,0,0,0,0,144,0,78,0,,,,,,,,,,,,,38,X,,,,,,,1504,X,,,,,,,,,1503,X,,,,,,,,,,,,,,,190,X,180,X,,,,,,,0,0,,,80,X,98,X,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,9/29/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,T02400,0,0,0,0,167,0,67,0,,,,,,,,,,,,,42,X,,,,,,,1520,X,,,,,,,,,1432,X,,,,,,,,,,,,,,,220,X,230,X,,,,,,,0,0,,,76,X,98,X,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,9/30/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,56,2400,0,0,0,0,139,0,50,0,,,,,,,,,,,,,60,X,,,,,,,1640,X,,,,,,,,,1738,X,,,,,,,,,,,,,,,220,X,230,X,,,,,,,0,0,,,107,X,130,X,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,10/1/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,144,0,17,0,,,,,,,,,,,,,37,X,,,,,,,1348,X,,,,,,,,,1347,X,,,,,,,,,,,,,,,260,X,260,X,,,,,,,0,0,,,72,X,89,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/2/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,20,2400,0,0,0,0,111,0,33,0,,,,,,,,,,,,,38,X,,,,,,,1744,X,,,,,,,,,1940,X,,,,,,,,,,,,,,,150,X,150,X,,,,,,,0,0,,,63,X,72,X,,,,,1,0,,,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,10/3/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,102,2400,0,0,0,0,150,0,44,0,,,,,,,,,,,,,54,X,,,,,,,1418,X,,,,,,,,,1418,X,,,,,,,,,,,,,,,320,X,320,X,,,,,,,0,0,,,179,X,215,X,,,,,1,0,1,X,1,0,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,
USW00024157,10/4/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,128,0,17,0,,,,,,,,,,,,,35,X,,,,,,,101,X,,,,,,,,,101,X,,,,,,,,,,,,,,,260,X,270,X,,,,,,,0,0,,,63,X,72,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00024157,10/5/1995,47.62168,-117.52796,717.7,SPOKANE INTERNATIONAL AIRPORT WA US,0,2400,0,0,0,0,139,0,11,0,,,,,,,,,,,,,31,X,,,,,,,1038,X,,,,,,,,,1318,X,,,,,,,,,,,,,,,90,X,40,X,,,,,,,0,0,,,58,X,67,X,,,,,1,0,1,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
